"","specie_id","specie_name","value","n","prop"
"160",1228,"Pocillopora eydouxi","D",6,0.146341463414634
"161",1234,"Pocillopora meandrina","A",1,0.0416666666666667
"162",1234,"Pocillopora meandrina","C",18,0.75
"163",1234,"Pocillopora meandrina","D",5,0.208333333333333
"164",1237,"Pocillopora verrucosa","C",23,0.741935483870968
"165",1237,"Pocillopora verrucosa","D",8,0.258064516129032
"166",1240,"Podabacia crustacea","C",6,0.6
"167",1240,"Podabacia crustacea","D",4,0.4
"168",1269,"Porites astreoides","A",17,0.377777777777778
"169",1269,"Porites astreoides","B",7,0.155555555555556
"170",1269,"Porites astreoides","C",20,0.444444444444444
"171",1269,"Porites astreoides","F",1,0.0222222222222222
"172",1279,"Porites compressa","C",17,1
"173",1281,"Porites cylindrica","C",39,1
"174",1303,"Porites lobata","C",33,1
"175",1304,"Porites lutea","B",1,0.0285714285714286
"176",1304,"Porites lutea","C",34,0.971428571428571
"177",1316,"Porites porites","A",3,0.1875
"178",1316,"Porites porites","C",13,0.8125
"179",1320,"Porites rus","C",12,1
"180",1337,"Psammocora contigua","C",9,0.818181818181818
"181",1337,"Psammocora contigua","D",2,0.181818181818182
"182",1374,"Herpolitha limax","C",13,0.764705882352941
"183",1374,"Herpolitha limax","D",4,0.235294117647059
"184",1390,"Seriatopora hystrix","C",99,0.838983050847458
"185",1390,"Seriatopora hystrix","D",19,0.161016949152542
"186",1393,"Siderastrea radians","A",2,0.117647058823529
"187",1393,"Siderastrea radians","B",8,0.470588235294118
"188",1393,"Siderastrea radians","C",5,0.294117647058824
"189",1393,"Siderastrea radians","D",2,0.117647058823529
"190",1395,"Siderastrea siderea","A",2,0.0338983050847458
"191",1395,"Siderastrea siderea","B",15,0.254237288135593
"192",1395,"Siderastrea siderea","C",22,0.372881355932203
"193",1395,"Siderastrea siderea","D",20,0.338983050847458
"194",1441,"Stylophora pistillata","A",1,0.00632911392405063
"195",1441,"Stylophora pistillata","C",157,0.993670886075949
"196",1447,"Symphyllia radians","C",15,0.882352941176471
"197",1447,"Symphyllia radians","D",2,0.117647058823529
"198",1541,"Turbinaria frondens","C",12,0.857142857142857
"199",1541,"Turbinaria frondens","D",2,0.142857142857143
